exp_length;exp_angle;exp_orientation;var_length;var_angle;var_orientation;length;angle;orientation
4.2113066636;-0.249616929798;-0.589097379437;0.00760266497951;1.62159640403e-06;0.00152424197508;4.3019080957;-0.249260425251;-0.619216044784

4.2113066636;-0.249616929798;-0.589097379437;0.00760266497951;1.62159640403e-06;0.00152424197508;4.29894714877;-0.249218313229;-0.615349679852

4.21138907493;-0.249607007204;-0.589092510579;0.00760266497951;1.62159640403e-06;0.00152424197508;4.30190511724;-0.249260401332;-0.619213992672

4.21138907493;-0.249607007204;-0.589092510579;0.00760266497951;1.62159640403e-06;0.00152424197508;4.29097364594;-0.249215141021;-0.619070769805

4.21142089537;-0.249600048106;-0.589087417014;0.00760266497951;1.62159640403e-06;0.00152424197508;4.29895353837;-0.249218306927;-0.615345685377

4.21142089537;-0.249600048106;-0.589087417014;0.00760266497951;1.62159640403e-06;0.00152424197508;4.3018967322;-0.249260382794;-0.619217427959

4.21149666825;-0.249590532636;-0.589082545628;0.00760266497951;1.62159640403e-06;0.00152424197508;4.3018967322;-0.249260382794;-0.619217388388

4.21149666825;-0.249590532636;-0.589082545628;0.00760266497951;1.62159640403e-06;0.00152424197508;4.29894714877;-0.249218313229;-0.615349679852

4.21153579643;-0.249583124069;-0.589077453513;0.00760266497951;1.62159640403e-06;0.00152424197508;4.3018967322;-0.249260382794;-0.619217427959

4.21153579643;-0.249583124069;-0.589077453513;0.00760266497951;1.62159640403e-06;0.00152424197508;4.29894714877;-0.249218313229;-0.615349679852

4.21159859951;-0.249574365705;-0.589072528381;0.00760266497951;1.62159640403e-06;0.00152424197508;4.29894714877;-0.249218313229;-0.615349679852

4.21159859951;-0.249574365705;-0.589072528381;0.00760266497951;1.62159640403e-06;0.00152424197508;4.3018967322;-0.249260382794;-0.619217427959

4.21165120031;-0.249566184005;-0.589067505257;0.00760266497951;1.62159640403e-06;0.00152424197508;4.29894714877;-0.249218313229;-0.615349679852

4.21165120031;-0.249566184005;-0.589067505257;0.00760266497951;1.62159640403e-06;0.00152424197508;4.30643531901;-0.249221307327;-0.611637720361

4.19942124206;-0.2501167375;-0.588881189501;0.00760266497951;1.62159640403e-06;0.00152424197508;4.32060935474;-0.249227009407;-0.604243311969

4.19942124206;-0.2501167375;-0.588881189501;0.00760266497951;1.62159640403e-06;0.00152424197508;4.27707217929;-0.249252732667;-0.632829690545

4.18007282355;-0.251291895565;-0.588873913311;0.00760266497951;1.62159640403e-06;0.00152424197508;4.28302052211;-0.249293834587;-0.624168953198

4.18007282355;-0.251291895565;-0.588873913311;0.00760266497951;1.62159640403e-06;0.00152424197508;4.27765854417;-0.250284872862;-0.499514186778

4.1605533876;-0.252495334519;-0.588872733626;0.00760266497951;1.62159640403e-06;0.00152424197508;4.28486585286;-0.251186778741;-0.627120850151

4.1605533876;-0.252495334519;-0.588872733626;0.00760266497951;1.62159640403e-06;0.00152424197508;4.27043471801;-0.251217534807;-0.641961520316

4.14106929608;-0.253708302543;-0.58887163233;0.00760266497951;1.62159640403e-06;0.00152424197508;4.26152779194;-0.251254511028;-0.643534963769

4.14106929608;-0.253708302543;-0.58887163233;0.00760266497951;1.62159640403e-06;0.00152424197508;4.24126124536;-0.25223145188;-0.540815281833

4.12154891779;-0.254935346153;-0.588870356933;0.00760266497951;1.62159640403e-06;0.00152424197508;4.21209619403;-0.252218657286;-0.564219261393

4.10208915147;-0.25617060015;-0.58886919972;0.00760266497951;1.62159640403e-06;0.00152424197508;4.16892997966;-0.254165201584;-0.5991878392

4.10208915147;-0.25617060015;-0.58886919972;0.00760266497951;1.62159640403e-06;0.00152424197508;4.16446749904;-0.254285466654;-0.587697809401

4.08258068947;-0.257421104492;-0.588867840411;0.00760266497951;1.62159640403e-06;0.00152424197508;4.13611565019;-0.256115346813;-0.6221783618

4.08258068947;-0.257421104492;-0.588867840411;0.00760266497951;1.62159640403e-06;0.00152424197508;4.12920432894;-0.256112924601;-0.62595203873

4.06313190156;-0.258680198076;-0.588866650771;0.00760266497951;1.62159640403e-06;0.00152424197508;4.10943648503;-0.258065896719;-0.641662807384

4.04363779653;-0.259954689986;-0.588865205748;0.00760266497951;1.62159640403e-06;0.00152424197508;4.10943900323;-0.258065944989;-0.641661388901

4.00472271404;-0.262537347101;-0.588862451014;0.00760266497951;1.62159640403e-06;0.00152424197508;4.06149813946;-0.260087180859;-0.669220844102

4.00472271404;-0.262537347101;-0.588862451014;0.00760266497951;1.62159640403e-06;0.00152424197508;4.0393120925;-0.261092793039;-0.595636633983

3.50158529805;-0.301320496909;-0.588821472044;0.00525558605716;2.39982060033e-05;0.00176551319397;3.54157005;-0.297869965707;-0.634217505953

3.50158529805;-0.301320496909;-0.588821472044;0.00525558605716;2.39982060033e-05;0.00176551319397;3.5277957124;-0.299603981179;-0.632290665237

3.50158529805;-0.301320496909;-0.588821472044;0.00525558605716;2.39982060033e-05;0.00176551319397;3.50548165146;-0.30049065792;-0.581062653376

3.48234268014;-0.303036433513;-0.588819604694;0.00525558605716;2.39982060033e-05;0.00176551319397;3.5208454366;-0.301481954064;-0.639733762882

3.48234268014;-0.303036433513;-0.588819604694;0.00525558605716;2.39982060033e-05;0.00176551319397;3.53209215436;-0.30151799898;-0.631179580539

3.46313965957;-0.304768833553;-0.588817851165;0.00525558605716;2.39982060033e-05;0.00176551319397;3.48578370497;-0.303079708352;-0.633523165952

