;par_length_x;par_length_c;par_angle_x;par_angle_c;par_orientation_x;par_orientation_c
var_length;0.001510345548;0.00307175896766;0.021011395981;0.0190693207019;-0.0087357890268;0.0281365868992
var_angle;0.0200887970138;-0.000403917353527;0.00853935060328;0.00102293524245;-0.000734264320415;0.00287175246428
var_orientation;0.00257591195797;0.0721304388335;-0.00268433868396;0.105595050293;-0.0081320887041;0.11046634447
